episode=33, steps=640, epsilon=0.5799, server_farm_reward=298.9200, server_reward=246.1500, episode_total_reward=545.0700, avg_reward_per_step=0.8517, rejected_tasks=128, completed_jobs=53, wall_time=174.01
episode=34, steps=802, epsilon=0.5630, server_farm_reward=505.3900, server_reward=424.4600, episode_total_reward=929.8500, avg_reward_per_step=1.1594, rejected_tasks=70, completed_jobs=54, wall_time=186.44
episode=35, steps=644, epsilon=0.5494, server_farm_reward=301.8600, server_reward=242.1500, episode_total_reward=544.0100, avg_reward_per_step=0.8447, rejected_tasks=177, completed_jobs=54, wall_time=153.22
episode=36, steps=636, epsilon=0.5359, server_farm_reward=311.2800, server_reward=259.7900, episode_total_reward=571.0700, avg_reward_per_step=0.8979, rejected_tasks=124, completed_jobs=51, wall_time=181.8
episode=37, steps=576, epsilon=0.5238, server_farm_reward=277.0100, server_reward=213.8500, episode_total_reward=490.8600, avg_reward_per_step=0.8522, rejected_tasks=121, completed_jobs=53, wall_time=153.99
episode=38, steps=714, epsilon=0.5087, server_farm_reward=418.8800, server_reward=351.9100, episode_total_reward=770.7900, avg_reward_per_step=1.0795, rejected_tasks=104, completed_jobs=53, wall_time=152.81
episode=39, steps=564, epsilon=0.4968, server_farm_reward=205.2400, server_reward=177.8000, episode_total_reward=383.0400, avg_reward_per_step=0.6791, rejected_tasks=144, completed_jobs=50, wall_time=135.6
episode=40, steps=628, epsilon=0.4835, server_farm_reward=265.1700, server_reward=210.0300, episode_total_reward=475.2000, avg_reward_per_step=0.7567, rejected_tasks=138, completed_jobs=50, wall_time=149.45
episode=41, steps=584, epsilon=0.4712, server_farm_reward=286.4600, server_reward=228.4300, episode_total_reward=514.8900, avg_reward_per_step=0.8817, rejected_tasks=167, completed_jobs=53, wall_time=168.62
episode=42, steps=590, epsilon=0.4588, server_farm_reward=289.5900, server_reward=228.7400, episode_total_reward=518.3300, avg_reward_per_step=0.8785, rejected_tasks=151, completed_jobs=53, wall_time=151.59
episode=43, steps=600, epsilon=0.4461, server_farm_reward=273.1500, server_reward=215.5700, episode_total_reward=488.7200, avg_reward_per_step=0.8145, rejected_tasks=97, completed_jobs=51, wall_time=154.62
episode=44, steps=638, epsilon=0.4326, server_farm_reward=313.9900, server_reward=264.2400, episode_total_reward=578.2300, avg_reward_per_step=0.9063, rejected_tasks=153, completed_jobs=51, wall_time=150.29
episode=45, steps=630, epsilon=0.4193, server_farm_reward=273.2200, server_reward=223.8200, episode_total_reward=497.0400, avg_reward_per_step=0.7890, rejected_tasks=162, completed_jobs=50, wall_time=119.05
episode=46, steps=614, epsilon=0.4064, server_farm_reward=290.2900, server_reward=227.2100, episode_total_reward=517.5000, avg_reward_per_step=0.8428, rejected_tasks=100, completed_jobs=52, wall_time=186.68
episode=47, steps=646, epsilon=0.3927, server_farm_reward=273.9900, server_reward=224.1300, episode_total_reward=498.1200, avg_reward_per_step=0.7711, rejected_tasks=145, completed_jobs=52, wall_time=162.94
episode=48, steps=582, epsilon=0.3804, server_farm_reward=221.4200, server_reward=169.3300, episode_total_reward=390.7500, avg_reward_per_step=0.6714, rejected_tasks=178, completed_jobs=51, wall_time=143.89
episode=49, steps=628, epsilon=0.3672, server_farm_reward=303.7800, server_reward=248.5500, episode_total_reward=552.3300, avg_reward_per_step=0.8795, rejected_tasks=102, completed_jobs=49, wall_time=165.14
episode=50, steps=690, epsilon=0.3526, server_farm_reward=366.7200, server_reward=305.2900, episode_total_reward=672.0100, avg_reward_per_step=0.9739, rejected_tasks=107, completed_jobs=52, wall_time=181.54
episode=51, steps=550, epsilon=0.3410, server_farm_reward=209.3800, server_reward=175.7300, episode_total_reward=385.1100, avg_reward_per_step=0.7002, rejected_tasks=186, completed_jobs=47, wall_time=176.1
episode=52, steps=504, epsilon=0.3304, server_farm_reward=232.7000, server_reward=173.5000, episode_total_reward=406.2000, avg_reward_per_step=0.8060, rejected_tasks=123, completed_jobs=51, wall_time=159.87
episode=53, steps=582, epsilon=0.3181, server_farm_reward=207.0400, server_reward=159.8000, episode_total_reward=366.8400, avg_reward_per_step=0.6303, rejected_tasks=137, completed_jobs=50, wall_time=162.4
episode=54, steps=474, epsilon=0.3081, server_farm_reward=180.8900, server_reward=152.2700, episode_total_reward=333.1600, avg_reward_per_step=0.7029, rejected_tasks=187, completed_jobs=49, wall_time=140.14
