episode=1, steps=7200, epsilon=0.9527, server_farm_reward=3353.4700, server_reward=2909.7400, episode_total_reward=6263.2100, avg_reward_per_step=0.8699
episode=2, steps=7200, epsilon=0.9052, server_farm_reward=3355.7100, server_reward=2909.7400, episode_total_reward=6265.4500, avg_reward_per_step=0.8702
episode=3, steps=7200, epsilon=0.8576, server_farm_reward=3355.7700, server_reward=2909.7400, episode_total_reward=6265.5100, avg_reward_per_step=0.8702
episode=4, steps=7200, epsilon=0.8101, server_farm_reward=3354.7500, server_reward=2909.7400, episode_total_reward=6264.4900, avg_reward_per_step=0.8701
episode=5, steps=7200, epsilon=0.7626, server_farm_reward=3355.7800, server_reward=2909.7400, episode_total_reward=6265.5200, avg_reward_per_step=0.8702
episode=6, steps=7200, epsilon=0.7151, server_farm_reward=3355.7700, server_reward=2909.7400, episode_total_reward=6265.5100, avg_reward_per_step=0.8702
episode=7, steps=7200, epsilon=0.6676, server_farm_reward=3357.8400, server_reward=2909.7400, episode_total_reward=6267.5800, avg_reward_per_step=0.8705
episode=8, steps=7200, epsilon=0.6200, server_farm_reward=3355.5800, server_reward=2909.7400, episode_total_reward=6265.3200, avg_reward_per_step=0.8702
episode=9, steps=7200, epsilon=0.5725, server_farm_reward=3355.5700, server_reward=2909.7400, episode_total_reward=6265.3100, avg_reward_per_step=0.8702
episode=10, steps=7200, epsilon=0.5250, server_farm_reward=3354.4100, server_reward=2909.7400, episode_total_reward=6264.1500, avg_reward_per_step=0.8700
episode=11, steps=6800, epsilon=0.4801, server_farm_reward=3186.3500, server_reward=2740.1200, episode_total_reward=5926.4700, avg_reward_per_step=0.8715
episode=12, steps=7200, epsilon=0.4326, server_farm_reward=3357.5200, server_reward=2909.7400, episode_total_reward=6267.2600, avg_reward_per_step=0.8705
episode=13, steps=7084, epsilon=0.3858, server_farm_reward=3286.8100, server_reward=2851.3300, episode_total_reward=6138.1400, avg_reward_per_step=0.8665
episode=14, steps=7200, epsilon=0.3383, server_farm_reward=3356.0400, server_reward=2909.7400, episode_total_reward=6265.7800, avg_reward_per_step=0.8702
episode=15, steps=7034, epsilon=0.2919, server_farm_reward=3283.5000, server_reward=2838.7000, episode_total_reward=6122.2000, avg_reward_per_step=0.8704
episode=16, steps=6506, epsilon=0.2490, server_farm_reward=3012.1200, server_reward=2621.0500, episode_total_reward=5633.1700, avg_reward_per_step=0.8658
episode=17, steps=6650, epsilon=0.2051, server_farm_reward=3063.6300, server_reward=2667.9400, episode_total_reward=5731.5700, avg_reward_per_step=0.8619
episode=18, steps=6850, epsilon=0.1599, server_farm_reward=3139.8300, server_reward=2760.3700, episode_total_reward=5900.2000, avg_reward_per_step=0.8613
episode=19, steps=6814, epsilon=0.1149, server_farm_reward=3074.2900, server_reward=2719.2300, episode_total_reward=5793.5200, avg_reward_per_step=0.8502
episode=20, steps=6444, epsilon=0.0724, server_farm_reward=2843.8600, server_reward=2424.4900, episode_total_reward=5268.3500, avg_reward_per_step=0.8176
episode=21, steps=5068, epsilon=0.0389, server_farm_reward=1995.0300, server_reward=1758.0800, episode_total_reward=3753.1100, avg_reward_per_step=0.7406
episode=22, steps=5044, epsilon=0.0100, server_farm_reward=1860.0800, server_reward=1790.6200, episode_total_reward=3650.7000, avg_reward_per_step=0.7238
episode=23, steps=5458, epsilon=0.0100, server_farm_reward=2462.9000, server_reward=2135.7300, episode_total_reward=4598.6300, avg_reward_per_step=0.8425
episode=24, steps=5346, epsilon=0.0100, server_farm_reward=1719.9400, server_reward=1659.7100, episode_total_reward=3379.6500, avg_reward_per_step=0.6322
episode=25, steps=5394, epsilon=0.0100, server_farm_reward=1802.0000, server_reward=1714.0700, episode_total_reward=3516.0700, avg_reward_per_step=0.6518
episode=26, steps=5382, epsilon=0.0100, server_farm_reward=2193.2300, server_reward=2070.3600, episode_total_reward=4263.5900, avg_reward_per_step=0.7922
episode=27, steps=5074, epsilon=0.0100, server_farm_reward=2012.9500, server_reward=1835.4400, episode_total_reward=3848.3900, avg_reward_per_step=0.7585
episode=28, steps=5154, epsilon=0.0100, server_farm_reward=2014.2900, server_reward=1797.0100, episode_total_reward=3811.3000, avg_reward_per_step=0.7395
episode=29, steps=6058, epsilon=0.0100, server_farm_reward=2579.4900, server_reward=2349.3300, episode_total_reward=4928.8200, avg_reward_per_step=0.8136
episode=30, steps=5592, epsilon=0.0100, server_farm_reward=2274.3700, server_reward=2053.1200, episode_total_reward=4327.4900, avg_reward_per_step=0.7739
episode=31, steps=5572, epsilon=0.0100, server_farm_reward=2130.4300, server_reward=1976.9000, episode_total_reward=4107.3300, avg_reward_per_step=0.7371
episode=32, steps=5892, epsilon=0.0100, server_farm_reward=2665.0000, server_reward=2319.3000, episode_total_reward=4984.3000, avg_reward_per_step=0.8459
episode=33, steps=5532, epsilon=0.0100, server_farm_reward=2052.0500, server_reward=1877.5300, episode_total_reward=3929.5800, avg_reward_per_step=0.7103
episode=34, steps=6258, epsilon=0.0100, server_farm_reward=2491.5600, server_reward=2262.2500, episode_total_reward=4753.8100, avg_reward_per_step=0.7596
episode=35, steps=5988, epsilon=0.0100, server_farm_reward=2590.5900, server_reward=2290.1300, episode_total_reward=4880.7200, avg_reward_per_step=0.8151
episode=36, steps=6166, epsilon=0.0100, server_farm_reward=2608.1600, server_reward=2391.9600, episode_total_reward=5000.1200, avg_reward_per_step=0.8109
episode=37, steps=5576, epsilon=0.0100, server_farm_reward=2310.2400, server_reward=2001.5600, episode_total_reward=4311.8000, avg_reward_per_step=0.7733
episode=38, steps=6064, epsilon=0.0100, server_farm_reward=2287.7800, server_reward=2167.7200, episode_total_reward=4455.5000, avg_reward_per_step=0.7347
episode=39, steps=5756, epsilon=0.0100, server_farm_reward=2122.6800, server_reward=1901.2800, episode_total_reward=4023.9600, avg_reward_per_step=0.6991
episode=40, steps=5982, epsilon=0.0100, server_farm_reward=2408.7900, server_reward=2227.2500, episode_total_reward=4636.0400, avg_reward_per_step=0.7750
episode=41, steps=5414, epsilon=0.0100, server_farm_reward=2099.7300, server_reward=1890.7300, episode_total_reward=3990.4600, avg_reward_per_step=0.7371
episode=42, steps=5402, epsilon=0.0100, server_farm_reward=1885.2500, server_reward=1817.7700, episode_total_reward=3703.0200, avg_reward_per_step=0.6855
episode=43, steps=6214, epsilon=0.0100, server_farm_reward=2812.0800, server_reward=2423.8700, episode_total_reward=5235.9500, avg_reward_per_step=0.8426
episode=44, steps=5822, epsilon=0.0100, server_farm_reward=2191.3500, server_reward=1966.2600, episode_total_reward=4157.6100, avg_reward_per_step=0.7141
episode=45, steps=6384, epsilon=0.0100, server_farm_reward=2701.1000, server_reward=2396.9500, episode_total_reward=5098.0500, avg_reward_per_step=0.7986
episode=46, steps=6072, epsilon=0.0100, server_farm_reward=2627.7600, server_reward=2350.0400, episode_total_reward=4977.8000, avg_reward_per_step=0.8198
episode=47, steps=5670, epsilon=0.0100, server_farm_reward=2204.9800, server_reward=2001.6500, episode_total_reward=4206.6300, avg_reward_per_step=0.7419
