episode=33, steps=524, epsilon=0.6281, server_farm_reward=168.9300, server_reward=137.4800, episode_total_reward=306.4100, avg_reward_per_step=0.5848, rejected_tasks=159, completed_jobs=49, wall_time=169.12
episode=34, steps=600, epsilon=0.6154, server_farm_reward=311.6400, server_reward=247.6300, episode_total_reward=559.2700, avg_reward_per_step=0.9321, rejected_tasks=123, completed_jobs=54, wall_time=167.13
episode=35, steps=654, epsilon=0.6016, server_farm_reward=321.4100, server_reward=254.6400, episode_total_reward=576.0500, avg_reward_per_step=0.8808, rejected_tasks=105, completed_jobs=53, wall_time=170.89
episode=36, steps=558, epsilon=0.5898, server_farm_reward=218.0400, server_reward=164.4600, episode_total_reward=382.5000, avg_reward_per_step=0.6855, rejected_tasks=114, completed_jobs=50, wall_time=190.46
episode=37, steps=528, epsilon=0.5787, server_farm_reward=175.4300, server_reward=136.7700, episode_total_reward=312.2000, avg_reward_per_step=0.5913, rejected_tasks=183, completed_jobs=51, wall_time=159.91
episode=38, steps=502, epsilon=0.5681, server_farm_reward=193.7000, server_reward=136.9800, episode_total_reward=330.6800, avg_reward_per_step=0.6587, rejected_tasks=105, completed_jobs=52, wall_time=165.77
episode=39, steps=538, epsilon=0.5567, server_farm_reward=224.0300, server_reward=187.7300, episode_total_reward=411.7600, avg_reward_per_step=0.7654, rejected_tasks=136, completed_jobs=49, wall_time=193.71
episode=40, steps=574, epsilon=0.5446, server_farm_reward=228.5000, server_reward=170.9100, episode_total_reward=399.4100, avg_reward_per_step=0.6958, rejected_tasks=139, completed_jobs=54, wall_time=171.61
episode=41, steps=500, epsilon=0.5340, server_farm_reward=207.5100, server_reward=155.1300, episode_total_reward=362.6400, avg_reward_per_step=0.7253, rejected_tasks=148, completed_jobs=51, wall_time=148.72
episode=42, steps=566, epsilon=0.5221, server_farm_reward=224.1700, server_reward=172.5200, episode_total_reward=396.6900, avg_reward_per_step=0.7009, rejected_tasks=135, completed_jobs=51, wall_time=154.2
episode=43, steps=486, epsilon=0.5118, server_farm_reward=164.5100, server_reward=124.1200, episode_total_reward=288.6300, avg_reward_per_step=0.5939, rejected_tasks=156, completed_jobs=49, wall_time=157.88
episode=44, steps=514, epsilon=0.5010, server_farm_reward=217.9400, server_reward=170.0200, episode_total_reward=387.9600, avg_reward_per_step=0.7548, rejected_tasks=93, completed_jobs=49, wall_time=202.36
episode=45, steps=596, epsilon=0.4884, server_farm_reward=268.9000, server_reward=203.4800, episode_total_reward=472.3800, avg_reward_per_step=0.7926, rejected_tasks=132, completed_jobs=54, wall_time=187.06
episode=46, steps=494, epsilon=0.4780, server_farm_reward=122.7800, server_reward=80.7800, episode_total_reward=203.5600, avg_reward_per_step=0.4121, rejected_tasks=179, completed_jobs=50, wall_time=157.92
episode=47, steps=538, epsilon=0.4666, server_farm_reward=134.1300, server_reward=103.9600, episode_total_reward=238.0900, avg_reward_per_step=0.4425, rejected_tasks=155, completed_jobs=47, wall_time=114.09
episode=48, steps=476, epsilon=0.4566, server_farm_reward=157.1300, server_reward=108.4100, episode_total_reward=265.5400, avg_reward_per_step=0.5579, rejected_tasks=132, completed_jobs=50, wall_time=171.53
episode=49, steps=472, epsilon=0.4466, server_farm_reward=167.4800, server_reward=128.5800, episode_total_reward=296.0600, avg_reward_per_step=0.6272, rejected_tasks=191, completed_jobs=49, wall_time=158.56
episode=50, steps=520, epsilon=0.4356, server_farm_reward=169.8200, server_reward=115.7800, episode_total_reward=285.6000, avg_reward_per_step=0.5492, rejected_tasks=124, completed_jobs=51, wall_time=173.04
episode=51, steps=476, epsilon=0.4256, server_farm_reward=143.1500, server_reward=95.5700, episode_total_reward=238.7200, avg_reward_per_step=0.5015, rejected_tasks=111, completed_jobs=52, wall_time=176.84
episode=52, steps=506, epsilon=0.4149, server_farm_reward=152.0800, server_reward=110.5100, episode_total_reward=262.5900, avg_reward_per_step=0.5190, rejected_tasks=181, completed_jobs=52, wall_time=204.33
episode=53, steps=476, epsilon=0.4048, server_farm_reward=87.5300, server_reward=47.4500, episode_total_reward=134.9800, avg_reward_per_step=0.2836, rejected_tasks=166, completed_jobs=51, wall_time=154.14
episode=54, steps=530, epsilon=0.3936, server_farm_reward=124.2100, server_reward=86.5600, episode_total_reward=210.7700, avg_reward_per_step=0.3977, rejected_tasks=150, completed_jobs=48, wall_time=156.45
episode=55, steps=452, epsilon=0.3841, server_farm_reward=88.7800, server_reward=52.2700, episode_total_reward=141.0500, avg_reward_per_step=0.3121, rejected_tasks=154, completed_jobs=50, wall_time=141.24
episode=56, steps=470, epsilon=0.3742, server_farm_reward=131.1600, server_reward=91.9600, episode_total_reward=223.1200, avg_reward_per_step=0.4747, rejected_tasks=155, completed_jobs=49, wall_time=156.52
episode=57, steps=492, epsilon=0.3638, server_farm_reward=175.3800, server_reward=118.0900, episode_total_reward=293.4700, avg_reward_per_step=0.5965, rejected_tasks=107, completed_jobs=53, wall_time=164.07
episode=58, steps=480, epsilon=0.3537, server_farm_reward=184.9500, server_reward=139.7200, episode_total_reward=324.6700, avg_reward_per_step=0.6764, rejected_tasks=155, completed_jobs=51, wall_time=175.85
episode=59, steps=480, epsilon=0.3435, server_farm_reward=119.5700, server_reward=78.8200, episode_total_reward=198.3900, avg_reward_per_step=0.4133, rejected_tasks=177, completed_jobs=50, wall_time=157.32
episode=60, steps=602, epsilon=0.3308, server_farm_reward=222.4800, server_reward=184.6800, episode_total_reward=407.1600, avg_reward_per_step=0.6763, rejected_tasks=137, completed_jobs=44, wall_time=162.43
episode=61, steps=522, epsilon=0.3198, server_farm_reward=126.5200, server_reward=78.5100, episode_total_reward=205.0300, avg_reward_per_step=0.3928, rejected_tasks=136, completed_jobs=50, wall_time=173.79
episode=62, steps=520, epsilon=0.3088, server_farm_reward=186.5200, server_reward=141.4500, episode_total_reward=327.9700, avg_reward_per_step=0.6307, rejected_tasks=158, completed_jobs=51, wall_time=173.72
episode=63, steps=474, epsilon=0.2988, server_farm_reward=107.9900, server_reward=68.7000, episode_total_reward=176.6900, avg_reward_per_step=0.3728, rejected_tasks=178, completed_jobs=50, wall_time=156.84
episode=64, steps=478, epsilon=0.2887, server_farm_reward=93.5900, server_reward=55.0500, episode_total_reward=148.6400, avg_reward_per_step=0.3110, rejected_tasks=182, completed_jobs=51, wall_time=148.52
episode=65, steps=462, epsilon=0.2790, server_farm_reward=82.7000, server_reward=42.1800, episode_total_reward=124.8800, avg_reward_per_step=0.2703, rejected_tasks=168, completed_jobs=50, wall_time=173.91
episode=66, steps=436, epsilon=0.2698, server_farm_reward=108.7800, server_reward=81.1100, episode_total_reward=189.8900, avg_reward_per_step=0.4355, rejected_tasks=149, completed_jobs=48, wall_time=173.69
episode=67, steps=478, epsilon=0.2597, server_farm_reward=67.5400, server_reward=29.3900, episode_total_reward=96.9300, avg_reward_per_step=0.2028, rejected_tasks=173, completed_jobs=50, wall_time=164.02
episode=68, steps=480, epsilon=0.2495, server_farm_reward=70.2800, server_reward=27.3800, episode_total_reward=97.6600, avg_reward_per_step=0.2035, rejected_tasks=180, completed_jobs=51, wall_time=136.1
episode=69, steps=522, epsilon=0.2385, server_farm_reward=128.9500, server_reward=81.6700, episode_total_reward=210.6200, avg_reward_per_step=0.4035, rejected_tasks=167, completed_jobs=51, wall_time=179.93
episode=70, steps=452, epsilon=0.2290, server_farm_reward=50.6200, server_reward=20.1600, episode_total_reward=70.7800, avg_reward_per_step=0.1566, rejected_tasks=185, completed_jobs=50, wall_time=167.03
episode=71, steps=476, epsilon=0.2189, server_farm_reward=65.7800, server_reward=21.7400, episode_total_reward=87.5200, avg_reward_per_step=0.1839, rejected_tasks=162, completed_jobs=50, wall_time=160.11
episode=72, steps=446, epsilon=0.2095, server_farm_reward=92.3300, server_reward=61.4600, episode_total_reward=153.7900, avg_reward_per_step=0.3448, rejected_tasks=186, completed_jobs=49, wall_time=156.25
episode=73, steps=482, epsilon=0.1993, server_farm_reward=127.5800, server_reward=79.9400, episode_total_reward=207.5200, avg_reward_per_step=0.4305, rejected_tasks=155, completed_jobs=52, wall_time=163.92
episode=74, steps=504, epsilon=0.1887, server_farm_reward=115.8100, server_reward=61.1800, episode_total_reward=176.9900, avg_reward_per_step=0.3512, rejected_tasks=111, completed_jobs=52, wall_time=168.91
episode=75, steps=448, epsilon=0.1792, server_farm_reward=41.0800, server_reward=14.5300, episode_total_reward=55.6100, avg_reward_per_step=0.1241, rejected_tasks=174, completed_jobs=50, wall_time=143.32
episode=76, steps=482, epsilon=0.1691, server_farm_reward=102.0100, server_reward=51.0500, episode_total_reward=153.0600, avg_reward_per_step=0.3176, rejected_tasks=144, completed_jobs=51, wall_time=186.76
episode=77, steps=466, epsilon=0.1592, server_farm_reward=74.6600, server_reward=41.3500, episode_total_reward=116.0100, avg_reward_per_step=0.2489, rejected_tasks=198, completed_jobs=48, wall_time=170.46
episode=78, steps=476, epsilon=0.1492, server_farm_reward=147.7100, server_reward=108.4600, episode_total_reward=256.1700, avg_reward_per_step=0.5382, rejected_tasks=164, completed_jobs=49, wall_time=165.26
episode=79, steps=492, epsilon=0.1388, server_farm_reward=100.4700, server_reward=47.4700, episode_total_reward=147.9400, avg_reward_per_step=0.3007, rejected_tasks=174, completed_jobs=53, wall_time=173.29
episode=80, steps=490, epsilon=0.1284, server_farm_reward=119.2900, server_reward=71.9400, episode_total_reward=191.2300, avg_reward_per_step=0.3903, rejected_tasks=142, completed_jobs=52, wall_time=164.11
episode=81, steps=466, epsilon=0.1186, server_farm_reward=96.8100, server_reward=60.6200, episode_total_reward=157.4300, avg_reward_per_step=0.3378, rejected_tasks=176, completed_jobs=48, wall_time=148.16
episode=82, steps=446, epsilon=0.1092, server_farm_reward=67.5600, server_reward=48.6500, episode_total_reward=116.2100, avg_reward_per_step=0.2606, rejected_tasks=196, completed_jobs=45, wall_time=157.27
episode=83, steps=478, epsilon=0.0991, server_farm_reward=84.0000, server_reward=32.5800, episode_total_reward=116.5800, avg_reward_per_step=0.2439, rejected_tasks=138, completed_jobs=52, wall_time=151.8
