episode=53, steps=460, server_farm_reward=50.9630, server_reward=52.5740, episode_total_reward=103.5370, avg_reward_per_step=0.2251
episode=54, steps=488, server_farm_reward=61.2940, server_reward=63.2600, episode_total_reward=124.5540, avg_reward_per_step=0.2552
episode=55, steps=496, server_farm_reward=57.5030, server_reward=59.4020, episode_total_reward=116.9050, avg_reward_per_step=0.2357
episode=56, steps=458, server_farm_reward=50.0830, server_reward=51.5020, episode_total_reward=101.5850, avg_reward_per_step=0.2218
episode=57, steps=450, server_farm_reward=41.6220, server_reward=42.8960, episode_total_reward=84.5180, avg_reward_per_step=0.1878
episode=58, steps=478, server_farm_reward=57.3110, server_reward=59.1380, episode_total_reward=116.4490, avg_reward_per_step=0.2436
episode=59, steps=456, server_farm_reward=52.0660, server_reward=53.6920, episode_total_reward=105.7580, avg_reward_per_step=0.2319
episode=60, steps=466, server_farm_reward=52.9580, server_reward=54.4320, episode_total_reward=107.3900, avg_reward_per_step=0.2305
episode=61, steps=478, server_farm_reward=56.3110, server_reward=58.0740, episode_total_reward=114.3850, avg_reward_per_step=0.2393
episode=62, steps=470, server_farm_reward=58.0090, server_reward=59.7300, episode_total_reward=117.7390, avg_reward_per_step=0.2505
episode=63, steps=466, server_farm_reward=56.2840, server_reward=57.9200, episode_total_reward=114.2040, avg_reward_per_step=0.2451
episode=64, steps=468, server_farm_reward=53.9030, server_reward=55.5260, episode_total_reward=109.4290, avg_reward_per_step=0.2338
episode=65, steps=466, server_farm_reward=55.5210, server_reward=57.1580, episode_total_reward=112.6790, avg_reward_per_step=0.2418
episode=66, steps=478, server_farm_reward=57.4940, server_reward=59.1760, episode_total_reward=116.6700, avg_reward_per_step=0.2441
episode=67, steps=494, server_farm_reward=59.0890, server_reward=60.9540, episode_total_reward=120.0430, avg_reward_per_step=0.2430
episode=68, steps=486, server_farm_reward=59.4190, server_reward=61.1460, episode_total_reward=120.5650, avg_reward_per_step=0.2481
episode=69, steps=458, server_farm_reward=49.5330, server_reward=51.0300, episode_total_reward=100.5630, avg_reward_per_step=0.2196
episode=70, steps=476, server_farm_reward=53.3350, server_reward=54.9060, episode_total_reward=108.2410, avg_reward_per_step=0.2274
episode=71, steps=452, server_farm_reward=50.9580, server_reward=52.5240, episode_total_reward=103.4820, avg_reward_per_step=0.2289
episode=72, steps=460, server_farm_reward=56.0700, server_reward=57.6040, episode_total_reward=113.6740, avg_reward_per_step=0.2471
episode=73, steps=466, server_farm_reward=56.4570, server_reward=58.0340, episode_total_reward=114.4910, avg_reward_per_step=0.2457
episode=74, steps=456, server_farm_reward=49.3810, server_reward=51.0340, episode_total_reward=100.4150, avg_reward_per_step=0.2202
episode=75, steps=458, server_farm_reward=47.4950, server_reward=48.9900, episode_total_reward=96.4850, avg_reward_per_step=0.2107
episode=76, steps=466, server_farm_reward=55.1490, server_reward=56.8340, episode_total_reward=111.9830, avg_reward_per_step=0.2403
episode=77, steps=448, server_farm_reward=49.7170, server_reward=51.3060, episode_total_reward=101.0230, avg_reward_per_step=0.2255
episode=78, steps=466, server_farm_reward=56.1040, server_reward=57.7960, episode_total_reward=113.9000, avg_reward_per_step=0.2444
episode=79, steps=490, server_farm_reward=60.3210, server_reward=61.9940, episode_total_reward=122.3150, avg_reward_per_step=0.2496
episode=80, steps=474, server_farm_reward=53.8820, server_reward=55.4600, episode_total_reward=109.3420, avg_reward_per_step=0.2307
episode=81, steps=460, server_farm_reward=60.4180, server_reward=62.0280, episode_total_reward=122.4460, avg_reward_per_step=0.2662
episode=82, steps=480, server_farm_reward=57.3220, server_reward=59.1960, episode_total_reward=116.5180, avg_reward_per_step=0.2427
episode=83, steps=454, server_farm_reward=50.4630, server_reward=52.0900, episode_total_reward=102.5530, avg_reward_per_step=0.2259
episode=84, steps=466, server_farm_reward=50.7120, server_reward=52.3600, episode_total_reward=103.0720, avg_reward_per_step=0.2212
episode=85, steps=486, server_farm_reward=55.6500, server_reward=57.3320, episode_total_reward=112.9820, avg_reward_per_step=0.2325
episode=86, steps=460, server_farm_reward=52.7110, server_reward=54.1020, episode_total_reward=106.8130, avg_reward_per_step=0.2322
episode=87, steps=460, server_farm_reward=59.4870, server_reward=61.2820, episode_total_reward=120.7690, avg_reward_per_step=0.2625
episode=88, steps=470, server_farm_reward=55.3850, server_reward=57.0060, episode_total_reward=112.3910, avg_reward_per_step=0.2391
episode=89, steps=468, server_farm_reward=53.1050, server_reward=54.7700, episode_total_reward=107.8750, avg_reward_per_step=0.2305
episode=90, steps=478, server_farm_reward=57.6090, server_reward=59.2740, episode_total_reward=116.8830, avg_reward_per_step=0.2445
episode=91, steps=458, server_farm_reward=54.3620, server_reward=55.8800, episode_total_reward=110.2420, avg_reward_per_step=0.2407
episode=92, steps=466, server_farm_reward=54.8890, server_reward=56.4940, episode_total_reward=111.3830, avg_reward_per_step=0.2390
episode=93, steps=478, server_farm_reward=56.3250, server_reward=57.9100, episode_total_reward=114.2350, avg_reward_per_step=0.2390
episode=94, steps=474, server_farm_reward=64.4060, server_reward=66.1720, episode_total_reward=130.5780, avg_reward_per_step=0.2755
episode=95, steps=474, server_farm_reward=56.6780, server_reward=58.4240, episode_total_reward=115.1020, avg_reward_per_step=0.2428
episode=96, steps=458, server_farm_reward=50.1320, server_reward=51.6200, episode_total_reward=101.7520, avg_reward_per_step=0.2222
episode=97, steps=448, server_farm_reward=47.0110, server_reward=48.7180, episode_total_reward=95.7290, avg_reward_per_step=0.2137
episode=98, steps=472, server_farm_reward=52.0630, server_reward=53.6460, episode_total_reward=105.7090, avg_reward_per_step=0.2240
episode=99, steps=466, server_farm_reward=53.1790, server_reward=54.8060, episode_total_reward=107.9850, avg_reward_per_step=0.2317
episode=100, steps=448, server_farm_reward=41.7530, server_reward=43.1140, episode_total_reward=84.8670, avg_reward_per_step=0.1894
episode=101, steps=464, server_farm_reward=50.4230, server_reward=51.9220, episode_total_reward=102.3450, avg_reward_per_step=0.2206
episode=102, steps=442, server_farm_reward=47.7800, server_reward=49.3880, episode_total_reward=97.1680, avg_reward_per_step=0.2198
episode=103, steps=484, server_farm_reward=63.5630, server_reward=65.4940, episode_total_reward=129.0570, avg_reward_per_step=0.2666
episode=104, steps=454, server_farm_reward=44.5390, server_reward=45.9740, episode_total_reward=90.5130, avg_reward_per_step=0.1994
episode=105, steps=488, server_farm_reward=59.0820, server_reward=60.8600, episode_total_reward=119.9420, avg_reward_per_step=0.2458
episode=106, steps=442, server_farm_reward=43.5120, server_reward=45.0080, episode_total_reward=88.5200, avg_reward_per_step=0.2003
episode=107, steps=442, server_farm_reward=52.4130, server_reward=54.1580, episode_total_reward=106.5710, avg_reward_per_step=0.2411
episode=108, steps=466, server_farm_reward=48.9620, server_reward=50.7320, episode_total_reward=99.6940, avg_reward_per_step=0.2139
episode=109, steps=462, server_farm_reward=52.7830, server_reward=54.2140, episode_total_reward=106.9970, avg_reward_per_step=0.2316
episode=110, steps=448, server_farm_reward=52.4410, server_reward=54.0180, episode_total_reward=106.4590, avg_reward_per_step=0.2376
episode=111, steps=480, server_farm_reward=57.6640, server_reward=59.3600, episode_total_reward=117.0240, avg_reward_per_step=0.2438
episode=112, steps=478, server_farm_reward=57.4840, server_reward=59.0720, episode_total_reward=116.5560, avg_reward_per_step=0.2438
episode=113, steps=480, server_farm_reward=51.1560, server_reward=52.7200, episode_total_reward=103.8760, avg_reward_per_step=0.2164
episode=114, steps=454, server_farm_reward=49.9740, server_reward=51.6960, episode_total_reward=101.6700, avg_reward_per_step=0.2239
episode=115, steps=470, server_farm_reward=54.5020, server_reward=56.3360, episode_total_reward=110.8380, avg_reward_per_step=0.2358
episode=116, steps=448, server_farm_reward=49.5910, server_reward=51.0100, episode_total_reward=100.6010, avg_reward_per_step=0.2246
episode=117, steps=460, server_farm_reward=52.4010, server_reward=54.1940, episode_total_reward=106.5950, avg_reward_per_step=0.2317
episode=118, steps=462, server_farm_reward=53.6970, server_reward=55.3740, episode_total_reward=109.0710, avg_reward_per_step=0.2361
episode=119, steps=452, server_farm_reward=47.8870, server_reward=49.4100, episode_total_reward=97.2970, avg_reward_per_step=0.2153
episode=120, steps=466, server_farm_reward=55.8670, server_reward=57.5780, episode_total_reward=113.4450, avg_reward_per_step=0.2434
episode=121, steps=492, server_farm_reward=55.7120, server_reward=57.4600, episode_total_reward=113.1720, avg_reward_per_step=0.2300
episode=122, steps=440, server_farm_reward=45.6790, server_reward=47.0220, episode_total_reward=92.7010, avg_reward_per_step=0.2107
episode=123, steps=492, server_farm_reward=60.6130, server_reward=62.4580, episode_total_reward=123.0710, avg_reward_per_step=0.2501
episode=124, steps=478, server_farm_reward=57.9150, server_reward=59.8220, episode_total_reward=117.7370, avg_reward_per_step=0.2463
episode=125, steps=456, server_farm_reward=51.5420, server_reward=53.0680, episode_total_reward=104.6100, avg_reward_per_step=0.2294
episode=126, steps=444, server_farm_reward=47.9330, server_reward=49.3780, episode_total_reward=97.3110, avg_reward_per_step=0.2192
episode=127, steps=466, server_farm_reward=48.9270, server_reward=50.7220, episode_total_reward=99.6490, avg_reward_per_step=0.2138
episode=128, steps=490, server_farm_reward=63.6470, server_reward=65.5580, episode_total_reward=129.2050, avg_reward_per_step=0.2637
episode=129, steps=428, server_farm_reward=41.4930, server_reward=42.8740, episode_total_reward=84.3670, avg_reward_per_step=0.1971
episode=130, steps=452, server_farm_reward=49.3130, server_reward=50.9500, episode_total_reward=100.2630, avg_reward_per_step=0.2218
episode=131, steps=430, server_farm_reward=48.8490, server_reward=50.4380, episode_total_reward=99.2870, avg_reward_per_step=0.2309
episode=132, steps=472, server_farm_reward=57.7310, server_reward=59.4060, episode_total_reward=117.1370, avg_reward_per_step=0.2482
episode=133, steps=464, server_farm_reward=50.8340, server_reward=52.4120, episode_total_reward=103.2460, avg_reward_per_step=0.2225
episode=134, steps=440, server_farm_reward=47.3850, server_reward=48.7900, episode_total_reward=96.1750, avg_reward_per_step=0.2186
episode=135, steps=468, server_farm_reward=50.2520, server_reward=51.9680, episode_total_reward=102.2200, avg_reward_per_step=0.2184
episode=136, steps=506, server_farm_reward=68.4740, server_reward=70.5400, episode_total_reward=139.0140, avg_reward_per_step=0.2747
episode=137, steps=514, server_farm_reward=62.0220, server_reward=64.0760, episode_total_reward=126.0980, avg_reward_per_step=0.2453
episode=138, steps=490, server_farm_reward=58.6850, server_reward=60.5820, episode_total_reward=119.2670, avg_reward_per_step=0.2434
episode=139, steps=460, server_farm_reward=52.5740, server_reward=54.1400, episode_total_reward=106.7140, avg_reward_per_step=0.2320
episode=140, steps=492, server_farm_reward=60.8170, server_reward=62.5820, episode_total_reward=123.3990, avg_reward_per_step=0.2508
episode=141, steps=458, server_farm_reward=53.3370, server_reward=55.1260, episode_total_reward=108.4630, avg_reward_per_step=0.2368
episode=142, steps=466, server_farm_reward=51.7840, server_reward=53.4840, episode_total_reward=105.2680, avg_reward_per_step=0.2259
episode=143, steps=472, server_farm_reward=54.2470, server_reward=56.1060, episode_total_reward=110.3530, avg_reward_per_step=0.2338
episode=144, steps=474, server_farm_reward=52.5840, server_reward=54.0400, episode_total_reward=106.6240, avg_reward_per_step=0.2249
episode=145, steps=492, server_farm_reward=62.2830, server_reward=64.1780, episode_total_reward=126.4610, avg_reward_per_step=0.2570
episode=146, steps=444, server_farm_reward=45.7760, server_reward=47.1640, episode_total_reward=92.9400, avg_reward_per_step=0.2093
episode=147, steps=454, server_farm_reward=53.8960, server_reward=55.7840, episode_total_reward=109.6800, avg_reward_per_step=0.2416
episode=148, steps=476, server_farm_reward=56.0340, server_reward=57.6760, episode_total_reward=113.7100, avg_reward_per_step=0.2389
episode=149, steps=450, server_farm_reward=52.8400, server_reward=54.4880, episode_total_reward=107.3280, avg_reward_per_step=0.2385
episode=150, steps=492, server_farm_reward=59.7010, server_reward=61.4340, episode_total_reward=121.1350, avg_reward_per_step=0.2462
episode=151, steps=480, server_farm_reward=56.2630, server_reward=58.0500, episode_total_reward=114.3130, avg_reward_per_step=0.2382
episode=152, steps=478, server_farm_reward=55.9270, server_reward=57.4020, episode_total_reward=113.3290, avg_reward_per_step=0.2371
episode=153, steps=478, server_farm_reward=60.6180, server_reward=62.4800, episode_total_reward=123.0980, avg_reward_per_step=0.2575
episode=154, steps=470, server_farm_reward=55.7860, server_reward=57.5080, episode_total_reward=113.2940, avg_reward_per_step=0.2411
episode=155, steps=458, server_farm_reward=56.7700, server_reward=58.3680, episode_total_reward=115.1380, avg_reward_per_step=0.2514
episode=156, steps=490, server_farm_reward=60.8750, server_reward=62.7020, episode_total_reward=123.5770, avg_reward_per_step=0.2522
episode=157, steps=470, server_farm_reward=62.3220, server_reward=63.9920, episode_total_reward=126.3140, avg_reward_per_step=0.2688
episode=158, steps=448, server_farm_reward=49.2190, server_reward=50.8700, episode_total_reward=100.0890, avg_reward_per_step=0.2234
episode=159, steps=454, server_farm_reward=49.9180, server_reward=51.5640, episode_total_reward=101.4820, avg_reward_per_step=0.2235
episode=160, steps=470, server_farm_reward=52.8270, server_reward=54.4900, episode_total_reward=107.3170, avg_reward_per_step=0.2283
episode=161, steps=452, server_farm_reward=50.6560, server_reward=52.0960, episode_total_reward=102.7520, avg_reward_per_step=0.2273
episode=162, steps=480, server_farm_reward=61.6940, server_reward=63.2640, episode_total_reward=124.9580, avg_reward_per_step=0.2603
episode=163, steps=460, server_farm_reward=50.4440, server_reward=51.7800, episode_total_reward=102.2240, avg_reward_per_step=0.2222
episode=164, steps=464, server_farm_reward=50.1470, server_reward=51.6820, episode_total_reward=101.8290, avg_reward_per_step=0.2195
episode=165, steps=458, server_farm_reward=51.8930, server_reward=53.4540, episode_total_reward=105.3470, avg_reward_per_step=0.2300
episode=166, steps=452, server_farm_reward=47.7590, server_reward=49.3340, episode_total_reward=97.0930, avg_reward_per_step=0.2148
episode=167, steps=496, server_farm_reward=58.7430, server_reward=60.4540, episode_total_reward=119.1970, avg_reward_per_step=0.2403
episode=168, steps=440, server_farm_reward=41.6170, server_reward=43.0740, episode_total_reward=84.6910, avg_reward_per_step=0.1925
episode=169, steps=458, server_farm_reward=47.2130, server_reward=48.9180, episode_total_reward=96.1310, avg_reward_per_step=0.2099
episode=170, steps=446, server_farm_reward=49.9990, server_reward=51.5620, episode_total_reward=101.5610, avg_reward_per_step=0.2277
episode=171, steps=470, server_farm_reward=53.2080, server_reward=54.8240, episode_total_reward=108.0320, avg_reward_per_step=0.2299
episode=172, steps=468, server_farm_reward=54.4890, server_reward=56.2860, episode_total_reward=110.7750, avg_reward_per_step=0.2367
episode=173, steps=476, server_farm_reward=52.8630, server_reward=54.6620, episode_total_reward=107.5250, avg_reward_per_step=0.2259
episode=174, steps=468, server_farm_reward=51.1580, server_reward=52.8400, episode_total_reward=103.9980, avg_reward_per_step=0.2222
episode=175, steps=472, server_farm_reward=52.8430, server_reward=54.4540, episode_total_reward=107.2970, avg_reward_per_step=0.2273
episode=176, steps=472, server_farm_reward=54.3030, server_reward=56.1460, episode_total_reward=110.4490, avg_reward_per_step=0.2340
episode=177, steps=480, server_farm_reward=53.9040, server_reward=55.9240, episode_total_reward=109.8280, avg_reward_per_step=0.2288
episode=178, steps=486, server_farm_reward=62.7730, server_reward=64.8660, episode_total_reward=127.6390, avg_reward_per_step=0.2626
episode=179, steps=454, server_farm_reward=56.9150, server_reward=58.6500, episode_total_reward=115.5650, avg_reward_per_step=0.2545
episode=180, steps=474, server_farm_reward=57.7990, server_reward=59.4500, episode_total_reward=117.2490, avg_reward_per_step=0.2474
episode=181, steps=492, server_farm_reward=63.3510, server_reward=65.2860, episode_total_reward=128.6370, avg_reward_per_step=0.2615
episode=182, steps=484, server_farm_reward=54.1740, server_reward=55.8480, episode_total_reward=110.0220, avg_reward_per_step=0.2273
episode=183, steps=454, server_farm_reward=51.5700, server_reward=53.0400, episode_total_reward=104.6100, avg_reward_per_step=0.2304
episode=184, steps=462, server_farm_reward=50.9670, server_reward=52.6100, episode_total_reward=103.5770, avg_reward_per_step=0.2242
episode=185, steps=488, server_farm_reward=63.7690, server_reward=65.7540, episode_total_reward=129.5230, avg_reward_per_step=0.2654
episode=186, steps=462, server_farm_reward=46.0690, server_reward=47.6100, episode_total_reward=93.6790, avg_reward_per_step=0.2028
episode=187, steps=480, server_farm_reward=51.4170, server_reward=53.0420, episode_total_reward=104.4590, avg_reward_per_step=0.2176
episode=188, steps=466, server_farm_reward=52.9790, server_reward=54.5220, episode_total_reward=107.5010, avg_reward_per_step=0.2307
episode=189, steps=452, server_farm_reward=53.2220, server_reward=54.8120, episode_total_reward=108.0340, avg_reward_per_step=0.2390
episode=190, steps=430, server_farm_reward=39.8070, server_reward=41.1980, episode_total_reward=81.0050, avg_reward_per_step=0.1884
episode=191, steps=492, server_farm_reward=62.3930, server_reward=64.3300, episode_total_reward=126.7230, avg_reward_per_step=0.2576
episode=192, steps=456, server_farm_reward=51.4480, server_reward=53.0480, episode_total_reward=104.4960, avg_reward_per_step=0.2292
episode=193, steps=474, server_farm_reward=50.2120, server_reward=51.9200, episode_total_reward=102.1320, avg_reward_per_step=0.2155
episode=194, steps=428, server_farm_reward=46.6480, server_reward=48.1920, episode_total_reward=94.8400, avg_reward_per_step=0.2216
episode=195, steps=478, server_farm_reward=58.5540, server_reward=60.2520, episode_total_reward=118.8060, avg_reward_per_step=0.2485
episode=196, steps=476, server_farm_reward=60.9400, server_reward=62.6920, episode_total_reward=123.6320, avg_reward_per_step=0.2597
episode=197, steps=476, server_farm_reward=57.9340, server_reward=59.7920, episode_total_reward=117.7260, avg_reward_per_step=0.2473
episode=198, steps=452, server_farm_reward=48.4410, server_reward=50.0820, episode_total_reward=98.5230, avg_reward_per_step=0.2180
episode=199, steps=478, server_farm_reward=56.1650, server_reward=57.6900, episode_total_reward=113.8550, avg_reward_per_step=0.2382
episode=200, steps=448, server_farm_reward=42.7370, server_reward=44.2420, episode_total_reward=86.9790, avg_reward_per_step=0.1941
episode=201, steps=432, server_farm_reward=49.2880, server_reward=50.9200, episode_total_reward=100.2080, avg_reward_per_step=0.2320
episode=202, steps=448, server_farm_reward=55.1200, server_reward=56.7920, episode_total_reward=111.9120, avg_reward_per_step=0.2498
episode=203, steps=484, server_farm_reward=56.2390, server_reward=58.1540, episode_total_reward=114.3930, avg_reward_per_step=0.2363
episode=204, steps=470, server_farm_reward=57.9330, server_reward=59.5740, episode_total_reward=117.5070, avg_reward_per_step=0.2500
episode=205, steps=428, server_farm_reward=43.1810, server_reward=44.5420, episode_total_reward=87.7230, avg_reward_per_step=0.2050
episode=206, steps=486, server_farm_reward=50.4460, server_reward=52.1560, episode_total_reward=102.6020, avg_reward_per_step=0.2111
episode=207, steps=474, server_farm_reward=58.5630, server_reward=60.1540, episode_total_reward=118.7170, avg_reward_per_step=0.2505
episode=208, steps=478, server_farm_reward=58.8950, server_reward=60.6940, episode_total_reward=119.5890, avg_reward_per_step=0.2502
episode=209, steps=454, server_farm_reward=54.2150, server_reward=55.8580, episode_total_reward=110.0730, avg_reward_per_step=0.2425
