num_server_farms,total_servers,servers_per_farm_avg,mean_episode_wall_s,std_episode_wall_s,mean_steps,std_steps,mean_total_energy,std_total_energy,mean_init_s,std_init_s,ms_per_step_mean,std_ms_per_step,ms_action_per_step,ms_env_step_per_step
2,10,5.0,0.0046752799999012495,0.00013149107208814583,20,0.0,15.9,1.796218249545417,0.012328579999939393,0.0026413871748645593,0.23376399999506248,0.006574553604407291,0.08546399998976995,0.14678499998353803
3,18,6.0,0.005887799999982235,6.711158615189601e-05,20,0.0,16.054000000000002,2.6282180274855422,0.011134199999924021,0.0005913938363244108,0.29438999999911175,0.0033555793075948004,0.08464699998967262,0.20820699998694178
5,25,5.0,0.0075607000000672995,0.0005082168140152848,20,0.0,15.728000000000002,2.3142860670193732,0.011784139999963372,0.001339574687557115,0.378035000003365,0.025410840700764242,0.0919430000203647,0.2844669999876715
5,50,10.0,0.011133880000033968,0.00020577432304438889,20,0.0,16.24,2.126182024192661,0.011894320000010339,0.0011066385009652954,0.5566940000016984,0.010288716152219445,0.08788699999513483,0.4671880000478268
8,80,10.0,0.01642339999998512,0.0011676389940723636,20,0.0,16.616,2.72563387123069,0.013117199999942385,0.0006340075869422861,0.821169999999256,0.05838194970361818,0.09492300000147225,0.7244280000122671
10,100,10.0,0.019199860000026093,0.0001584868543485699,20,0.0,16.342000000000002,2.0138694098674823,0.014375079999990704,0.0007811384107300895,0.9599930000013046,0.007924342717428494,0.09045000000696746,0.8677979999720264
