episode=33, steps=706, epsilon=0.0100, server_farm_reward=408.4400, server_reward=337.4400, episode_total_reward=745.8800, avg_reward_per_step=1.0565, rejected_tasks=116, completed_jobs=52, wall_time=161.51
episode=34, steps=664, epsilon=0.0100, server_farm_reward=387.6000, server_reward=315.2400, episode_total_reward=702.8400, avg_reward_per_step=1.0585, rejected_tasks=72, completed_jobs=54, wall_time=169.03
episode=35, steps=774, epsilon=0.0100, server_farm_reward=474.7400, server_reward=404.3700, episode_total_reward=879.1100, avg_reward_per_step=1.1358, rejected_tasks=95, completed_jobs=53, wall_time=151.49
episode=36, steps=622, epsilon=0.0100, server_farm_reward=327.2700, server_reward=267.4000, episode_total_reward=594.6700, avg_reward_per_step=0.9561, rejected_tasks=103, completed_jobs=51, wall_time=151.07
episode=37, steps=888, epsilon=0.0100, server_farm_reward=566.9900, server_reward=495.7300, episode_total_reward=1062.7200, avg_reward_per_step=1.1968, rejected_tasks=62, completed_jobs=54, wall_time=184.91
episode=38, steps=798, epsilon=0.0100, server_farm_reward=482.9700, server_reward=412.3600, episode_total_reward=895.3300, avg_reward_per_step=1.1220, rejected_tasks=96, completed_jobs=54, wall_time=147.7
episode=39, steps=890, epsilon=0.0100, server_farm_reward=553.6700, server_reward=468.0000, episode_total_reward=1021.6700, avg_reward_per_step=1.1479, rejected_tasks=82, completed_jobs=55, wall_time=165.3
episode=40, steps=842, epsilon=0.0100, server_farm_reward=576.7600, server_reward=487.1300, episode_total_reward=1063.8900, avg_reward_per_step=1.2635, rejected_tasks=37, completed_jobs=57, wall_time=173.94
episode=41, steps=760, epsilon=0.0100, server_farm_reward=442.3100, server_reward=366.9000, episode_total_reward=809.2100, avg_reward_per_step=1.0647, rejected_tasks=105, completed_jobs=54, wall_time=166.65
episode=42, steps=750, epsilon=0.0100, server_farm_reward=447.5300, server_reward=376.9000, episode_total_reward=824.4300, avg_reward_per_step=1.0992, rejected_tasks=78, completed_jobs=53, wall_time=169.87
episode=43, steps=896, epsilon=0.0100, server_farm_reward=594.9700, server_reward=506.9700, episode_total_reward=1101.9400, avg_reward_per_step=1.2298, rejected_tasks=44, completed_jobs=56, wall_time=147.92
episode=44, steps=762, epsilon=0.0100, server_farm_reward=444.1900, server_reward=374.5300, episode_total_reward=818.7200, avg_reward_per_step=1.0744, rejected_tasks=80, completed_jobs=54, wall_time=192.42
episode=45, steps=824, epsilon=0.0100, server_farm_reward=513.8500, server_reward=437.7500, episode_total_reward=951.6000, avg_reward_per_step=1.1549, rejected_tasks=68, completed_jobs=55, wall_time=169.99
episode=46, steps=682, epsilon=0.0100, server_farm_reward=403.5900, server_reward=342.1800, episode_total_reward=745.7700, avg_reward_per_step=1.0935, rejected_tasks=93, completed_jobs=53, wall_time=183.02
episode=47, steps=826, epsilon=0.0100, server_farm_reward=497.1300, server_reward=426.2200, episode_total_reward=923.3500, avg_reward_per_step=1.1179, rejected_tasks=82, completed_jobs=55, wall_time=149.83
episode=48, steps=836, epsilon=0.0100, server_farm_reward=523.4600, server_reward=432.1400, episode_total_reward=955.6000, avg_reward_per_step=1.1431, rejected_tasks=47, completed_jobs=56, wall_time=132.8
episode=49, steps=732, epsilon=0.0100, server_farm_reward=465.4800, server_reward=388.4800, episode_total_reward=853.9600, avg_reward_per_step=1.1666, rejected_tasks=74, completed_jobs=55, wall_time=142.47
episode=50, steps=802, epsilon=0.0100, server_farm_reward=485.7000, server_reward=405.1900, episode_total_reward=890.8900, avg_reward_per_step=1.1108, rejected_tasks=72, completed_jobs=55, wall_time=146.73
episode=51, steps=718, epsilon=0.0100, server_farm_reward=469.8000, server_reward=389.6900, episode_total_reward=859.4900, avg_reward_per_step=1.1971, rejected_tasks=43, completed_jobs=52, wall_time=149.41
episode=52, steps=778, epsilon=0.0100, server_farm_reward=469.9700, server_reward=384.2100, episode_total_reward=854.1800, avg_reward_per_step=1.0979, rejected_tasks=66, completed_jobs=55, wall_time=142.05
episode=53, steps=966, epsilon=0.0100, server_farm_reward=601.7800, server_reward=504.3700, episode_total_reward=1106.1500, avg_reward_per_step=1.1451, rejected_tasks=70, completed_jobs=59, wall_time=168.35
episode=54, steps=826, epsilon=0.0100, server_farm_reward=533.1400, server_reward=451.7700, episode_total_reward=984.9100, avg_reward_per_step=1.1924, rejected_tasks=95, completed_jobs=57, wall_time=184.51
episode=55, steps=856, epsilon=0.0100, server_farm_reward=504.4400, server_reward=421.7700, episode_total_reward=926.2100, avg_reward_per_step=1.0820, rejected_tasks=46, completed_jobs=53, wall_time=168.29
