episode=29, steps=716, server_farm_reward=408.1400, server_reward=337.0500, episode_total_reward=745.1900, avg_reward_per_step=1.0408, rejected_tasks=84, completed_jobs=54, wall_time=170.27, policy_loss=-0.0260, value_loss=0.0404
episode=30, steps=746, server_farm_reward=430.9600, server_reward=358.4300, episode_total_reward=789.3900, avg_reward_per_step=1.0582, rejected_tasks=96, completed_jobs=54, wall_time=161.02, policy_loss=-0.0211, value_loss=0.0400
episode=31, steps=766, server_farm_reward=449.5800, server_reward=370.5300, episode_total_reward=820.1100, avg_reward_per_step=1.0706, rejected_tasks=88, completed_jobs=56, wall_time=174.09, policy_loss=-0.0192, value_loss=0.0324
episode=32, steps=634, server_farm_reward=292.7900, server_reward=236.0900, episode_total_reward=528.8800, avg_reward_per_step=0.8342, rejected_tasks=102, completed_jobs=52, wall_time=142.2, policy_loss=0.0030, value_loss=0.0508
episode=33, steps=646, server_farm_reward=300.7800, server_reward=253.0400, episode_total_reward=553.8200, avg_reward_per_step=0.8573, rejected_tasks=138, completed_jobs=49, wall_time=161.63, policy_loss=-0.0060, value_loss=0.0476
episode=34, steps=604, server_farm_reward=296.7100, server_reward=237.2100, episode_total_reward=533.9200, avg_reward_per_step=0.8840, rejected_tasks=133, completed_jobs=52, wall_time=141.48, policy_loss=0.0050, value_loss=0.0450
episode=35, steps=808, server_farm_reward=485.0600, server_reward=402.3600, episode_total_reward=887.4200, avg_reward_per_step=1.0983, rejected_tasks=93, completed_jobs=56, wall_time=200.66, policy_loss=-0.0245, value_loss=0.0330
episode=36, steps=740, server_farm_reward=447.2000, server_reward=374.1600, episode_total_reward=821.3600, avg_reward_per_step=1.1099, rejected_tasks=75, completed_jobs=55, wall_time=152.85, policy_loss=-0.0186, value_loss=0.0304
episode=37, steps=802, server_farm_reward=522.9800, server_reward=443.6900, episode_total_reward=966.6700, avg_reward_per_step=1.2053, rejected_tasks=49, completed_jobs=55, wall_time=151.17, policy_loss=-0.0244, value_loss=0.0197
episode=38, steps=786, server_farm_reward=446.3300, server_reward=379.4400, episode_total_reward=825.7700, avg_reward_per_step=1.0506, rejected_tasks=82, completed_jobs=52, wall_time=161.36, policy_loss=-0.0159, value_loss=0.0317
episode=39, steps=638, server_farm_reward=311.8200, server_reward=257.8800, episode_total_reward=569.7000, avg_reward_per_step=0.8929, rejected_tasks=158, completed_jobs=52, wall_time=153.12, policy_loss=0.0075, value_loss=0.0458
episode=40, steps=592, server_farm_reward=309.8300, server_reward=252.4300, episode_total_reward=562.2600, avg_reward_per_step=0.9498, rejected_tasks=90, completed_jobs=53, wall_time=162.15, policy_loss=0.0019, value_loss=0.0430
episode=41, steps=666, server_farm_reward=315.3900, server_reward=252.2500, episode_total_reward=567.6400, avg_reward_per_step=0.8523, rejected_tasks=80, completed_jobs=53, wall_time=166.56, policy_loss=0.0045, value_loss=0.0454
episode=42, steps=824, server_farm_reward=526.2200, server_reward=457.0900, episode_total_reward=983.3100, avg_reward_per_step=1.1933, rejected_tasks=82, completed_jobs=55, wall_time=198.64, policy_loss=-0.0335, value_loss=0.0137
episode=43, steps=836, server_farm_reward=494.2000, server_reward=412.8800, episode_total_reward=907.0800, avg_reward_per_step=1.0850, rejected_tasks=104, completed_jobs=57, wall_time=166.31, policy_loss=-0.0177, value_loss=0.0231
episode=44, steps=566, server_farm_reward=262.8400, server_reward=204.5900, episode_total_reward=467.4300, avg_reward_per_step=0.8258, rejected_tasks=108, completed_jobs=53, wall_time=168.86, policy_loss=0.0093, value_loss=0.0359
episode=45, steps=918, server_farm_reward=603.9900, server_reward=513.8800, episode_total_reward=1117.8700, avg_reward_per_step=1.2177, rejected_tasks=72, completed_jobs=57, wall_time=177.76, policy_loss=-0.0407, value_loss=0.0219
episode=46, steps=764, server_farm_reward=383.4400, server_reward=334.1200, episode_total_reward=717.5600, avg_reward_per_step=0.9392, rejected_tasks=125, completed_jobs=51, wall_time=153.03, policy_loss=-0.0069, value_loss=0.0367
