episode=33, steps=940, epsilon=0.0100, server_farm_reward=607.6800, server_reward=523.9900, episode_total_reward=1131.6700, avg_reward_per_step=1.2039, rejected_tasks=46, completed_jobs=54, wall_time=168.82
episode=34, steps=826, epsilon=0.0100, server_farm_reward=491.4400, server_reward=419.6600, episode_total_reward=911.1000, avg_reward_per_step=1.1030, rejected_tasks=58, completed_jobs=50, wall_time=180.86
episode=35, steps=928, epsilon=0.0100, server_farm_reward=604.5900, server_reward=513.4900, episode_total_reward=1118.0800, avg_reward_per_step=1.2048, rejected_tasks=51, completed_jobs=56, wall_time=188.04
episode=36, steps=920, epsilon=0.0100, server_farm_reward=583.9800, server_reward=518.2700, episode_total_reward=1102.2500, avg_reward_per_step=1.1981, rejected_tasks=66, completed_jobs=53, wall_time=163.46
episode=37, steps=728, epsilon=0.0100, server_farm_reward=413.4000, server_reward=357.2800, episode_total_reward=770.6800, avg_reward_per_step=1.0586, rejected_tasks=70, completed_jobs=51, wall_time=149.34
episode=38, steps=672, epsilon=0.0100, server_farm_reward=382.9300, server_reward=323.4000, episode_total_reward=706.3300, avg_reward_per_step=1.0511, rejected_tasks=115, completed_jobs=54, wall_time=170.65
episode=39, steps=728, epsilon=0.0100, server_farm_reward=425.7800, server_reward=353.9600, episode_total_reward=779.7400, avg_reward_per_step=1.0711, rejected_tasks=77, completed_jobs=53, wall_time=156.26
episode=40, steps=754, epsilon=0.0100, server_farm_reward=442.2300, server_reward=382.5300, episode_total_reward=824.7600, avg_reward_per_step=1.0938, rejected_tasks=127, completed_jobs=53, wall_time=156.36
episode=41, steps=850, epsilon=0.0100, server_farm_reward=514.6200, server_reward=437.4000, episode_total_reward=952.0200, avg_reward_per_step=1.1200, rejected_tasks=89, completed_jobs=56, wall_time=163.52
episode=42, steps=626, epsilon=0.0100, server_farm_reward=364.7900, server_reward=301.8800, episode_total_reward=666.6700, avg_reward_per_step=1.0650, rejected_tasks=121, completed_jobs=53, wall_time=145.76
episode=43, steps=642, epsilon=0.0100, server_farm_reward=337.4100, server_reward=279.4600, episode_total_reward=616.8700, avg_reward_per_step=0.9609, rejected_tasks=123, completed_jobs=52, wall_time=185.28
episode=44, steps=896, epsilon=0.0100, server_farm_reward=590.9800, server_reward=497.3300, episode_total_reward=1088.3100, avg_reward_per_step=1.2146, rejected_tasks=64, completed_jobs=58, wall_time=178.48
episode=45, steps=828, epsilon=0.0100, server_farm_reward=570.4300, server_reward=478.6600, episode_total_reward=1049.0900, avg_reward_per_step=1.2670, rejected_tasks=30, completed_jobs=56, wall_time=181.16
episode=46, steps=1030, epsilon=0.0100, server_farm_reward=695.2400, server_reward=591.2400, episode_total_reward=1286.4800, avg_reward_per_step=1.2490, rejected_tasks=39, completed_jobs=58, wall_time=169.71
episode=47, steps=816, epsilon=0.0100, server_farm_reward=485.3800, server_reward=403.9900, episode_total_reward=889.3700, avg_reward_per_step=1.0899, rejected_tasks=100, completed_jobs=57, wall_time=155.99
episode=48, steps=966, epsilon=0.0100, server_farm_reward=624.1200, server_reward=526.8400, episode_total_reward=1150.9600, avg_reward_per_step=1.1915, rejected_tasks=68, completed_jobs=59, wall_time=135.65
episode=49, steps=824, epsilon=0.0100, server_farm_reward=487.7500, server_reward=408.8300, episode_total_reward=896.5800, avg_reward_per_step=1.0881, rejected_tasks=104, completed_jobs=55, wall_time=132.32
episode=50, steps=822, epsilon=0.0100, server_farm_reward=531.5100, server_reward=449.3500, episode_total_reward=980.8600, avg_reward_per_step=1.1933, rejected_tasks=48, completed_jobs=56, wall_time=164.56
episode=51, steps=820, epsilon=0.0100, server_farm_reward=503.2800, server_reward=435.3000, episode_total_reward=938.5800, avg_reward_per_step=1.1446, rejected_tasks=92, completed_jobs=53, wall_time=165.19
episode=52, steps=678, epsilon=0.0100, server_farm_reward=374.3200, server_reward=327.0300, episode_total_reward=701.3500, avg_reward_per_step=1.0344, rejected_tasks=123, completed_jobs=52, wall_time=176.21
episode=53, steps=746, epsilon=0.0100, server_farm_reward=458.7000, server_reward=390.5300, episode_total_reward=849.2300, avg_reward_per_step=1.1384, rejected_tasks=66, completed_jobs=53, wall_time=161.52
episode=54, steps=780, epsilon=0.0100, server_farm_reward=487.9500, server_reward=404.6800, episode_total_reward=892.6300, avg_reward_per_step=1.1444, rejected_tasks=45, completed_jobs=53, wall_time=175.76
episode=55, steps=562, epsilon=0.0100, server_farm_reward=300.5800, server_reward=253.5700, episode_total_reward=554.1500, avg_reward_per_step=0.9860, rejected_tasks=131, completed_jobs=49, wall_time=144.93
